date,TOTALCOST,VENDOR_ID,EXPENSECATEGORY_ID,status
"2017-07-25 05:00:00",60.83,7594994,17495,3
"2017-07-25 05:00:00",20.00,7594995,17460,2
"2017-07-25 05:00:00",18.08,7594996,17460,2
"2017-07-25 05:00:00",2.70,7594997,17488,2
"2017-07-25 05:00:00",16.03,7594998,17436,2
"2017-07-24 05:00:00",102.40,4308,17488,3
"2017-07-24 05:00:00",12.53,1326252,17488,2
"2017-07-24 05:00:00",6.68,7437,319019,2
"2017-07-24 05:00:00",7.43,1326252,17488,2
"2017-07-24 05:00:00",19.19,4298,17436,2
"2017-07-24 05:00:00",98.58,7594999,17477,2
"2017-07-24 05:00:00",16.56,7595000,319019,2
"2017-07-24 05:00:00",2.53,7595001,319019,2
"2017-07-24 05:00:00",17.94,7595002,17495,3
"2017-07-24 05:00:00",26.45,7595003,17436,2
"2017-07-24 05:00:00",36.18,7595004,17488,2
"2017-07-24 05:00:00",10.00,7595006,17495,3
"2017-07-24 05:00:00",8.76,7595009,17488,2
"2017-07-24 05:00:00",10.61,7595011,17450,3
"2017-07-21 05:00:00",1035.96,6646577,17495,3
"2017-07-21 05:00:00",19.04,4298,17436,2
"2017-07-21 05:00:00",21.96,7595012,17436,2
"2017-07-21 05:00:00",3.68,4294,17488,2
"2017-07-21 05:00:00",5.07,4294,17488,2
"2017-07-20 05:00:00",9.74,4308,17488,2
"2017-07-20 05:00:00",4.46,4294,17488,2
"2017-07-20 05:00:00",6.00,7595013,17483,2
"2017-07-20 05:00:00",7.69,7595014,17488,2
"2017-07-20 05:00:00",19.62,4298,17436,2
"2017-07-19 05:00:00",8.11,1326252,17488,2
"2017-07-19 05:00:00",21.92,4320,17436,2
"2017-07-19 05:00:00",20.00,7595015,17495,2
"2017-07-19 05:00:00",1.11,4294,17488,2
"2017-07-19 05:00:00",8.34,4294,17488,2
"2017-07-19 05:00:00",13.78,411527,17488,2
"2017-07-19 05:00:00",1.40,4320,17436,2
"2017-07-19 05:00:00",4.61,4294,17488,2
"2017-07-19 05:00:00",6.00,7595016,17483,2
"2017-07-18 05:00:00",5.07,4294,17488,2
"2017-07-18 05:00:00",10.16,4320,17436,2
"2017-07-18 05:00:00",20.00,4284,17488,2
"2017-07-18 05:00:00",25.54,4308,17488,3
"2017-07-18 05:00:00",4.85,4294,17488,2
"2017-07-18 05:00:00",6.25,7595021,17482,3
"2017-07-18 05:00:00",241.19,7595022,17495,3
"2017-07-18 05:00:00",3.30,4294,17488,2
"2017-07-18 05:00:00",13.79,4298,17436,2
"2017-07-18 05:00:00",2.20,4294,17488,2
"2017-07-17 05:00:00",17.94,7595023,17495,3
"2017-07-17 05:00:00",21.85,4308,17488,3
"2017-07-17 05:00:00",19.04,4298,17436,3
"2017-07-17 05:00:00",23.13,4308,17488,3
"2017-07-17 05:00:00",1.55,4294,17488,2
"2017-07-17 05:00:00",42.14,7595024,17495,3
"2017-07-17 05:00:00",5.85,7595025,319019,2
"2017-07-17 05:00:00",3.78,7595026,17488,2
"2017-07-17 05:00:00",19.04,4298,17436,3
"2017-07-17 05:00:00",13.31,7595027,17436,2
"2017-07-17 05:00:00",9.35,7595028,17488,2
"2017-07-17 05:00:00",4.42,4294,17488,2
"2017-07-17 05:00:00",12.04,7595029,319019,2
"2017-07-17 05:00:00",4.69,4294,17488,2
"2017-07-17 05:00:00",9.99,411531,17454,3
"2017-07-17 05:00:00",1.44,7595032,17460,2
"2017-07-17 05:00:00",73.27,7595033,17460,2
"2017-07-17 05:00:00",6.26,4294,17488,2
"2017-07-17 05:00:00",10.24,7595034,17436,2
"2017-07-17 05:00:00",8.77,4294,17488,2
"2017-07-17 05:00:00",9.95,7595035,17488,3
"2017-07-17 05:00:00",6.00,7595036,17483,2
"2017-07-17 00:00:00",65.17,7595037,17471,3
"2017-07-14 05:00:00",2.21,7595038,17488,2
"2017-07-14 05:00:00",6.00,7595039,17495,3
"2017-07-14 05:00:00",5.07,4294,17488,2
"2017-07-13 05:00:00",5.30,4294,17488,2
"2017-07-12 05:00:00",6.00,7595040,17460,2
"2017-07-12 05:00:00",19.96,7595041,17436,2
